FECHA (YYMMDD);HORA (HHMM);;
200402;0400;12,575;
200402;0500;12,1917;
200402;0600;11,895;
200402;0700;11,6917;
200402;0800;12,7833;
200402;0900;18,3;
200402;1000;22,125;
200402;1100;24,8917;
200402;1200;28,3167;
200402;1300;30,4;
200402;1400;31,45;
200402;1500;32,9833;
200402;1600;33,2917;
200402;1700;32,6417;
200402;1800;30,8;
200402;1900;26,9;
200402;2000;23,4583;
200402;2100;20,5167;
200402;2200;19,1667;
200402;2300;17,5671;
200403;0000;16,0667;
200403;0100;14,7417;
200403;0200;14,125;
200403;0300;13,3083;
200403;0400;12,4417;
200403;0500;11,9083;
200403;0600;11,3358;
200403;0700;11,375;
200403;0800;12,5833;
200403;0900;17,0583;
200403;1000;19,325;
200403;1100;21,6167;
200403;1200;23,5833;
200403;1300;25;
200403;1400;26,1917;
200403;1500;26,3583;
200403;1600;26,6333;
200403;1700;26,4333;
200403;1800;25,1667;
200403;1900;22,225;
200403;2000;19,8917;
200403;2100;18,5333;
200403;2200;17,2167;
200403;2300;15,3667;
200404;0000;14,5167;
200404;0100;13,9583;
200404;0200;13,3417;
200404;0300;13,0583;
200404;0400;12,8667;
200404;0500;12,475;
200404;0600;12,2101;
200404;0700;11,9167;
200404;0800;12,4667;
200404;0900;16,2833;
200404;1000;18,5583;
200404;1100;20,6583;
200404;1200;22,3167;
200404;1300;23,7;
200404;1400;24,8667;
200404;1500;25,3083;
200404;1600;25,1083;
200404;1700;24,9833;
200404;1800;23,5833;
200404;1900;21,4;
200404;2000;19,1583;
200404;2100;17,725;
200404;2200;16,9467;
200404;2300;15,3856;
200405;0000;14,7104;
200405;0100;14,3167;
200405;0200;13,6417;
200405;0300;12,6333;
200405;0400;12,2917;
200405;0500;11,8417;
200405;0600;11,4178;
200405;0700;11,2167;
200405;0800;11,6583;
200405;0900;14,85;
200405;1000;17;
200405;1100;18,9083;
200405;1200;21,2333;
200405;1300;22,4833;
200405;1400;24,2;
200405;1500;25,8167;
200405;1600;25,5333;
200405;1700;25,4833;
200405;1800;23,7667;
200405;1900;21,6;
200405;2000;19,8417;
200405;2100;17,8167;
200405;2200;16,6667;
200405;2300;15,9833;
200406;0000;15,0083;
200406;0100;14,0417;
200406;0200;13,4583;
200406;0300;12,6583;
200406;0400;11,9583;
200406;0500;11,6922;
200406;0600;11,5086;
200406;0700;11,21;
200406;0800;12,1417;
200406;0900;18,1583;
200406;1000;19,8917;
200406;1100;22,2583;
200406;1200;24,9333;
200406;1300;26,4667;
200406;1400;28,0417;
200406;1500;28,9833;
200406;1600;29,2182;
200406;1700;29,025;
200406;1800;27,9583;
200406;1900;25,4;
200406;2000;21,6917;
200406;2100;19,6167;
200406;2200;18,775;
200406;2300;17,6417;
200407;0000;16,5333;
200407;0100;15,3583;
200407;0200;14,9167;
200407;0300;14,3583;
200407;0400;14,6667;
200407;0500;13,7;
200407;0600;13,1282;
200407;0700;12,7417;
200407;0800;13,0917;
200407;0900;18,85;
200407;1000;22,65;
200407;1100;25,125;
200407;1200;27,8083;
200407;1300;29,0083;
200407;1400;29,8333;
200407;1500;30,4;
200407;1600;30,5167;
200407;1700;30,1083;
200407;1800;28,6917;
200407;1900;25,2583;
200407;2000;22,5083;
200407;2100;20,0083;
200407;2200;18,425;
200407;2300;16,9917;
200408;0000;16,2333;
200408;0100;15,05;
200408;0200;13,9833;
200408;0300;13,2333;
200408;0400;12,55;
200408;0500;12,25;
200408;0600;11,8933;
200408;0700;11,6667;
200408;0800;12,4167;
200408;0900;16,3167;
200408;1000;19,2083;
200408;1100;21,1333;
200408;1200;23,3167;
200408;1300;23,725;
200408;1400;23,9667;
200408;1500;23,8333;
200408;1600;23,225;
200408;1700;22,1;
200408;1800;20,4417;
200408;1900;18,25;
200408;2000;16,625;
200408;2100;15,525;
200408;2200;14,5;
200408;2300;13,725;
200409;0000;12,9833;
200409;0100;12,2417;
200409;0200;11,8858;
200409;0300;11,5273;
200409;0400;11,2;
200409;0500;11,1417;
200409;0600;11,3018;
200409;0700;11,35;
200409;0800;11,6917;
200409;0900;12,4333;
200409;1000;13,7083;
200409;1100;15,6833;
200409;1200;17,9083;
200409;1300;19,9;
200409;1400;20,7;
200409;1500;21,7333;
200409;1600;22,3667;
200409;1700;22,1;
200409;1800;20,6167;
200409;1900;18,6833;
200409;2000;16,9667;
200409;2100;15,6333;
200409;2200;14,5583;
200409;2300;13,4917;
200410;0000;12,7437;
200410;0100;11,9686;
200410;0200;11,185;
200410;0300;10,7265;
200410;0400;10,45;
200410;0500;10,575;
200410;0600;10,876;
200410;0700;11,2833;
200410;0800;11,3833;
200410;0900;12,025;
200410;1000;12,8333;
200410;1100;14,7833;
200410;1200;16,375;
200410;1300;17,775;
200410;1400;19,275;
200410;1500;20,3583;
200410;1600;21,225;
200410;1700;21,2667;
200410;1800;20,275;
200410;1900;18,675;
200410;2000;17,2126;
200410;2100;15,8353;
200410;2200;14,9185;
200410;2300;14,1433;
