FECHA (YYMMDD);HORA (HHMM);;
200323;1400;1,74803;
200323;1500;2,05674;
200323;1600;2,87721;
200323;1700;2,82959;
200323;1800;2,86924;
200323;1900;1,67789;
200323;2000;1,03605;
200323;2100;0,504235;
200323;2200;0,248715;
200323;2300;0,03135;
200324;0000;0,0444889;
200324;0100;0,0543627;
200324;0200;0,0612106;
200324;0300;0,037677;
200324;0400;0,052269;
200324;0500;0,0590896;
200324;0600;0,0741107;
200324;0700;0,044322;
200324;0800;0,0619179;
200324;0900;0,159586;
200324;1000;0,270028;
200324;1100;0,528394;
200324;1200;0,318567;
200324;1300;1,42796;
200324;1400;2,12297;
200324;1500;2,49006;
200324;1600;2,65522;
200324;1700;2,96812;
200324;1800;2,63447;
200324;1900;1,94226;
200324;2000;1,1361;
200324;2100;1,0304;
200324;2200;0,951785;
200324;2300;0,962173;
200325;0000;0,206206;
200325;0100;0,43792;
200325;0200;0,140866;
200325;0300;0,357665;
200325;0400;0,235503;
200325;0500;0,137613;
200325;0600;0,132865;
200325;0700;0,233747;
200325;0800;0,0429611;
200325;0900;0,693174;
200325;1000;0,371358;
200325;1100;0,173034;
200325;1200;0,146976;
200325;1300;1,32211;
200325;1400;1,21979;
200325;1500;1,59462;
200325;1600;1,74937;
200325;1700;1,76477;
200325;1800;1,76754;
200325;1900;1,75222;
200325;2000;1,16677;
200325;2100;0,815961;
200325;2200;0,117257;
200325;2300;0,134815;
200326;0000;0,0153771;
200326;0100;0,160207;
200326;0200;0,0947824;
200326;0300;0,00334906;
200326;0400;0,0094734;
200326;0500;0,0136208;
200326;0600;0,0643033;
200326;0700;0,0311629;
200326;0800;0,0886778;
200326;0900;0,0240737;
200326;1000;1,0462;
200326;1100;1,34072;
200326;1200;1,01615;
200326;1300;1,44426;
200326;1400;2,3259;
200326;1500;2,9564;
200326;1600;2,74277;
200326;1700;2,62596;
200326;1800;2,21146;
200326;1900;1,94669;
200326;2000;1,23127;
200326;2100;1,0767;
200326;2200;0,440863;
200326;2300;0,667484;
200327;0000;0,680076;
200327;0100;0,33878;
200327;0200;0,956115;
200327;0300;0,692322;
